step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
570,2.410425,2.339436,0.341064,0.344301,0.000467,772.2,72960,0.9906,11320.3184,10.8760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.6384,46.0843,0.00,0.00
580,2.461060,2.355362,0.341187,0.345959,0.000449,784.4,74240,0.9862,11288.9277,10.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.3526,46.1567,0.00,0.00
590,2.377540,2.332628,0.350708,0.352775,0.000432,797.5,75520,0.9941,11437.4248,10.9809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.3819,46.0627,0.00,0.00
600,2.406519,2.335490,0.344604,0.347917,0.000415,810.2,76800,0.9905,11286.0928,10.8834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0292,46.0976,0.00,0.00
610,2.422856,2.346541,0.350708,0.354298,0.000398,826.7,78080,0.9899,11082.5566,10.7342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.9517,46.5398,0.00,0.00
620,2.422904,2.321915,0.349121,0.353654,0.000381,839.5,79360,0.9872,10624.9492,10.3778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.4308,47.9329,0.00,0.00
630,2.393430,2.312833,0.359375,0.363233,0.000364,853.5,80640,0.9894,10596.9541,10.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.8162,47.6036,0.00,0.00
640,2.408199,2.322472,0.349243,0.353210,0.000347,866.1,81920,0.9888,10965.5684,10.6051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0128,46.6417,0.00,0.00
650,2.461990,2.340699,0.346802,0.352350,0.000331,878.1,83200,0.9843,12789.8643,11.3563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.4748,44.7846,0.00,0.00
660,2.409347,2.331830,0.342285,0.345831,0.000314,889.9,84480,0.9897,12612.6807,11.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.0404,44.8619,0.00,0.00
670,2.383869,2.320527,0.358643,0.361645,0.000298,902.0,85760,0.9917,12785.8809,11.7848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.9562,44.9798,0.00,0.00
680,2.460295,2.278078,0.359375,0.368322,0.000282,914.9,87040,0.9757,12941.7891,12.1606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.6658,45.0906,0.00,0.00
690,2.384846,2.315810,0.348633,0.351767,0.000267,928.1,88320,0.9911,12928.2471,12.2674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9789,45.6453,0.00,0.00
700,2.412545,2.308267,0.354492,0.359450,0.000252,943.0,89600,0.9862,12766.1729,12.2232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0435,46.4930,0.00,0.00
710,2.384594,2.301131,0.346069,0.349870,0.000237,959.3,90880,0.9891,12660.4824,12.1617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.4920,46.2643,0.00,0.00
720,2.382513,2.294945,0.351318,0.355353,0.000222,973.9,92160,0.9886,12617.2783,12.1271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.6586,46.3186,0.00,0.00
730,2.371756,2.268642,0.366577,0.371475,0.000208,986.6,93440,0.9868,12427.1455,12.0148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0776,46.3430,0.00,0.00
740,2.363137,2.287555,0.358276,0.361810,0.000194,998.6,94720,0.9902,12531.5879,12.0346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7578,46.2633,0.00,0.00
750,2.378535,2.285324,0.353271,0.357593,0.000180,1010.7,96000,0.9879,13125.6680,12.1299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.7067,44.9176,0.00,0.00
760,2.380655,2.292866,0.358154,0.362222,0.000167,1023.4,97280,0.9888,13017.1055,12.1670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.1873,44.8109,0.00,0.00
770,2.393312,2.250908,0.362305,0.368879,0.000154,1036.5,98560,0.9822,12933.2393,12.1837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0881,45.2669,0.00,0.00
780,2.401115,2.285765,0.354736,0.360010,0.000142,1049.1,99840,0.9854,12830.0928,12.1706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.4726,45.1049,0.00,0.00
790,2.400229,2.273989,0.359497,0.365385,0.000130,1062.3,101120,0.9839,12611.5449,12.1362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.2918,45.8536,0.00,0.00
