step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
750,2.340977,2.236968,0.365601,0.370668,0.000180,944.9,96000,0.9863,9242.7803,8.9795,0.4462,0.2899,0.6925,0.5261,0.3382,0.6388,20.8897,20.8897,98.4639,101.3002,44.0835,53.2591,44.4441,43.9260,44.1704,44.2924,63.00,575.00
760,2.381572,2.239488,0.364258,0.371237,0.000167,958.0,97280,0.9812,9237.3193,8.9794,0.4559,0.2976,0.6931,0.5175,0.3340,0.6493,20.6818,20.6818,99.0781,99.8776,45.3164,51.6667,43.9036,44.0514,44.2253,44.5991,63.00,575.00
770,2.314974,2.217899,0.380859,0.385757,0.000154,970.1,98560,0.9873,9350.8594,9.0287,0.4549,0.2989,0.6921,0.5156,0.3359,0.6451,20.7127,20.7127,92.7465,106.9608,42.3366,55.1299,44.0836,43.9896,44.6993,43.7325,63.00,575.00
780,2.362988,2.234580,0.365723,0.371989,0.000142,982.4,99840,0.9832,9284.6328,9.0189,0.4683,0.3062,0.7027,0.4997,0.3232,0.6414,20.0868,20.0868,99.5700,100.4910,46.7597,50.3469,43.9024,45.1694,43.9639,44.3665,63.00,575.00
790,2.335881,2.241453,0.360229,0.364681,0.000130,995.1,101120,0.9878,9217.4297,8.9788,0.4399,0.3015,0.7027,0.5271,0.3308,0.6447,21.4272,21.4272,101.6555,99.2267,44.7111,52.2619,43.5278,44.8915,44.1515,43.8098,63.00,575.00
800,2.320711,2.216171,0.371216,0.376268,0.000118,1007.3,102400,0.9866,9230.0420,8.9807,0.4508,0.2929,0.6896,0.5157,0.3357,0.6697,20.5156,20.5156,99.8198,98.9047,45.1107,51.0590,44.1806,43.8639,44.3069,44.9456,63.00,575.00
810,2.320757,2.223223,0.369263,0.374057,0.000107,1022.8,103680,0.9872,9063.2676,8.8520,0.4574,0.2755,0.6858,0.5211,0.3411,0.6475,20.5853,20.5853,109.8025,90.3418,50.2424,47.2054,43.3767,45.8005,43.2338,45.1242,63.00,575.00
820,2.315888,2.227688,0.366943,0.371065,0.000097,1033.7,104960,0.9889,9028.4355,8.8179,0.4420,0.2867,0.6770,0.5326,0.3490,0.6627,20.5850,20.5850,107.2776,91.4946,47.6166,48.7587,43.4748,45.1975,43.6803,44.9531,63.00,575.00
830,2.306917,2.210562,0.372314,0.377009,0.000086,1046.7,106240,0.9875,9004.5732,8.7959,0.4207,0.2825,0.6759,0.5527,0.3541,0.6854,21.3146,21.3146,106.5178,90.3607,44.8680,49.8958,43.8147,44.5273,44.2697,44.7387,63.00,575.00
840,2.301421,2.207521,0.366821,0.371309,0.000077,1058.2,107520,0.9879,9042.3398,8.8318,0.4312,0.2851,0.6828,0.5525,0.3529,0.6745,21.2323,21.2323,103.8419,95.4299,44.9317,52.7004,43.6674,45.1319,44.0738,43.8253,63.00,575.00
850,2.362895,2.277770,0.367554,0.371728,0.000068,1070.7,108800,0.9888,9157.1660,8.9163,0.4424,0.2869,0.6806,0.5361,0.3526,0.6765,20.7353,20.7353,99.1984,100.0217,44.0256,53.6540,44.5196,43.7305,44.1284,44.1712,63.00,575.00
860,2.314893,2.193185,0.384888,0.390997,0.000059,1081.7,110080,0.9844,9184.0801,8.9380,0.4346,0.2926,0.6885,0.5460,0.3414,0.6733,21.1353,21.1353,98.7317,101.2297,42.8788,55.2174,44.1482,43.8186,44.6436,43.9071,63.00,575.00
870,2.335767,2.219126,0.372192,0.377913,0.000051,1095.0,111360,0.9849,9183.8740,8.9432,0.4493,0.2960,0.6923,0.5270,0.3387,0.6611,21.0521,21.0521,99.3920,101.3237,44.7297,53.4622,43.4565,45.2484,44.3302,43.4797,63.00,575.00
880,2.308781,2.204529,0.370605,0.375557,0.000044,1106.7,112640,0.9868,9197.6484,8.9558,0.4440,0.2928,0.6899,0.5288,0.3404,0.6570,21.0839,21.0839,100.1496,99.6896,44.5428,52.6676,43.8613,44.5659,44.2981,43.9968,63.00,575.00
890,2.356334,2.226916,0.364868,0.371166,0.000037,1119.7,113920,0.9830,9272.3311,8.9923,0.4589,0.2921,0.6903,0.5181,0.3418,0.6519,20.3891,20.3891,96.5133,103.1435,44.4407,53.4268,44.4923,43.7139,44.3691,44.4221,63.00,575.00
900,2.343032,2.186383,0.376099,0.383830,0.000031,1130.1,115200,0.9799,9189.4707,8.9501,0.4553,0.2975,0.6910,0.5186,0.3443,0.6543,20.6491,20.6491,101.5464,99.2736,46.5155,51.4801,43.8933,44.7638,43.8992,44.3988,63.00,575.00
910,2.342850,2.215575,0.369873,0.376117,0.000025,1144.0,116480,0.9834,9200.1211,8.9579,0.4633,0.2940,0.6983,0.5186,0.3398,0.6562,20.7103,20.7103,101.0732,99.1736,46.9128,51.4163,44.2039,44.3019,43.5544,44.4196,63.00,575.00
920,2.280591,2.204461,0.375366,0.379115,0.000020,1157.1,117760,0.9901,9225.2529,8.9733,0.4625,0.2936,0.6951,0.5161,0.3353,0.6613,20.6181,20.6181,99.0237,100.0059,45.8691,51.7274,43.7865,44.3805,44.0981,44.2754,63.00,575.00
