stage	task	act	rho	H	beta	T	dt	init_scale	seed	conv_free	conv_nudge	accuracy	mse	mean_settle	osc_ratio	spectral_w1	spectral_w2	output_mag	seg_crossings
2	XOR	c19_r4	4	10	0.10	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.214119	10.5	0.0000	0.5535	0.4235	0.3867	0.0
2	XOR	c19_r4	4	10	0.10	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.151947	10.5	0.0000	0.4586	0.6974	0.2946	0.0
2	XOR	c19_r4	4	10	0.10	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.210241	9.8	0.0000	0.4515	0.4568	0.3871	0.0
2	XOR	c19_r4	4	10	0.10	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.214119	10.5	0.0000	0.5535	0.4235	0.3867	0.0
2	XOR	c19_r4	4	10	0.10	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.151947	10.5	0.0000	0.4586	0.6974	0.2946	0.0
2	XOR	c19_r4	4	10	0.10	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.210241	9.8	0.0000	0.4515	0.4568	0.3871	0.0
2	XOR	c19_r4	4	10	0.10	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.214119	10.5	0.0000	0.5535	0.4235	0.3867	0.0
2	XOR	c19_r4	4	10	0.50	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.203513	12.2	0.0000	0.3945	0.6114	0.2738	0.0
2	XOR	c19_r4	4	10	0.50	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.242427	10.5	0.0000	0.3423	0.4174	0.3428	0.0
2	XOR	c19_r4	4	10	0.50	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.213739	12.5	0.0000	0.5052	0.5475	0.3039	0.0
2	XOR	c19_r4	4	10	0.50	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.203362	12.2	0.0000	0.3946	0.6111	0.2738	0.0
2	XOR	c19_r4	4	10	0.50	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.242442	10.5	0.0000	0.3423	0.4174	0.3428	0.0
2	XOR	c19_r4	4	10	0.50	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.213770	12.5	0.0000	0.5051	0.5473	0.3038	0.0
2	XOR	c19_r4	4	10	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.203362	12.2	0.0000	0.3946	0.6111	0.2738	0.0
2	XOR	c19_r4	4	10	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.242442	10.5	0.0000	0.3423	0.4174	0.3428	0.0
2	XOR	c19_r4	4	10	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.213770	12.5	0.0000	0.5051	0.5473	0.3038	0.0
2	XOR	c19_r4	4	10	0.50	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.203362	12.2	0.0000	0.3946	0.6111	0.2738	0.0
2	XOR	c19_r4	4	10	0.50	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.242442	10.5	0.0000	0.3423	0.4174	0.3428	0.0
2	XOR	c19_r4	4	10	0.50	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.213770	12.5	0.0000	0.5051	0.5473	0.3038	0.0
2	XOR	c19_r4	4	10	1.00	20	0.50	0.1	42	1.0000	0.5000	0.5000	0.392103	7.0	0.0000	0.2105	0.1319	0.1204	0.0
2	XOR	c19_r4	4	10	1.00	20	0.50	0.1	123	1.0000	0.5000	0.5000	0.380026	7.2	0.0000	0.2341	0.0997	0.1375	0.0
