step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
530,2.489248,2.365595,0.343628,0.350342,0.000537,711.6,67840,0.9808,7702.6401,7.5036,0.5211,0.4218,0.6488,0.4823,0.3684,0.6430,18.5368,18.5368,77.4155,68.4858,23.9249,22.1428,50.6536,52.1116,50.5219,51.9234,63.00,575.00
540,2.451948,2.352282,0.344971,0.350446,0.000519,723.7,69120,0.9844,7690.0356,7.5059,0.5052,0.4213,0.6419,0.4570,0.3658,0.6249,19.3623,19.3623,74.7719,71.4641,23.1967,20.9869,50.6325,52.1277,50.4418,51.9491,63.00,575.00
550,2.428358,2.329365,0.352905,0.358329,0.000502,737.1,70400,0.9849,7687.1704,7.4892,0.5085,0.4248,0.6548,0.4559,0.3639,0.6439,19.4557,19.4557,77.4551,68.8356,23.3564,20.9424,50.6628,52.1833,50.3823,51.9457,63.00,575.00
560,2.433936,2.366017,0.344238,0.347890,0.000484,750.7,71680,0.9895,7657.1313,7.4738,0.5102,0.4288,0.6475,0.4580,0.3657,0.6256,19.3377,19.3377,74.8318,71.0515,23.4392,21.0452,50.5796,52.0067,50.4406,51.9536,63.00,575.00
570,2.502397,2.370672,0.340576,0.347707,0.000467,763.7,72960,0.9795,7641.9033,7.4619,0.5018,0.4271,0.6460,0.4537,0.3671,0.6279,19.7536,19.7536,73.6302,72.0582,23.0563,20.8475,50.3689,51.8606,50.6278,52.0605,63.00,575.00
580,2.427584,2.345812,0.347046,0.351465,0.000449,777.4,74240,0.9874,7640.1772,7.4402,0.4969,0.4241,0.6478,0.4475,0.3674,0.6308,20.3138,20.3138,77.0108,67.8250,22.8387,20.5698,50.2481,51.7637,50.4588,51.8637,63.00,575.00
590,2.444770,2.346004,0.350220,0.355514,0.000432,789.3,75520,0.9851,7755.3608,7.4178,0.5147,0.4242,0.6644,0.4664,0.3645,0.6523,19.2641,19.2641,86.5059,58.3378,23.6600,21.4393,50.4558,51.9313,50.2150,51.7692,63.00,575.00
600,2.406763,2.321034,0.352295,0.357001,0.000415,804.3,76800,0.9868,7729.7031,7.5138,0.5080,0.4080,0.6567,0.4623,0.3585,0.6291,19.1907,19.1907,66.0715,80.9498,23.3611,21.2479,50.2737,51.8861,50.4792,51.9925,63.00,575.00
610,2.418621,2.323190,0.354980,0.360079,0.000398,819.9,78080,0.9858,7675.5093,7.4967,0.5155,0.3964,0.6702,0.4830,0.3732,0.6647,18.7584,18.7584,73.4832,73.7411,23.7131,22.2034,50.4799,51.8998,50.5314,51.9814,63.00,575.00
620,2.457042,2.349313,0.340454,0.345987,0.000381,833.6,79360,0.9840,7690.4839,7.5081,0.5096,0.4011,0.6680,0.4818,0.3755,0.6642,18.9773,18.9773,76.8994,71.1533,23.4473,22.1501,50.4589,51.8367,50.5933,51.9257,63.00,575.00
630,2.364383,2.307558,0.349243,0.352297,0.000364,848.0,80640,0.9913,7718.4946,7.4619,0.5015,0.4052,0.6546,0.4895,0.4087,0.6578,19.5460,19.5460,84.9827,61.7847,23.0750,22.5063,50.4838,51.5543,50.5128,51.6130,63.00,575.00
640,2.425981,2.318578,0.356689,0.362666,0.000347,861.7,81920,0.9835,7706.4180,7.5116,0.4910,0.4030,0.6496,0.4873,0.4030,0.6613,19.5691,19.5691,79.7481,67.5946,22.5953,22.4023,50.5935,51.5441,50.5273,51.4951,63.00,575.00
650,2.380965,2.312159,0.355347,0.358984,0.000331,874.4,83200,0.9899,7756.0083,7.5454,0.4968,0.4033,0.6667,0.4838,0.3978,0.6782,19.5621,19.5621,81.7863,66.1654,22.8639,22.2399,50.5694,51.5196,50.5169,51.5714,63.00,575.00
660,2.399909,2.315139,0.360840,0.365525,0.000314,887.7,84480,0.9872,7760.9521,7.5525,0.5110,0.4094,0.6682,0.4852,0.3905,0.6735,19.0033,19.0033,81.8860,66.8764,23.5251,22.3080,50.6749,51.8691,50.3657,51.5737,63.00,575.00
670,2.411853,2.318140,0.351196,0.356285,0.000298,899.9,85760,0.9857,7749.1377,7.5628,0.5106,0.4121,0.6732,0.4776,0.3936,0.6726,19.3267,19.3267,78.6768,70.1680,23.5061,21.9596,50.5032,51.9237,50.3521,51.7060,63.00,575.00
680,2.333115,2.255548,0.365112,0.369305,0.000282,913.3,87040,0.9886,7754.9258,7.5743,0.5042,0.4116,0.6711,0.4716,0.3927,0.6715,19.5496,19.5496,76.6971,71.9340,23.2146,21.6865,50.4170,51.8067,50.4048,51.7905,63.00,575.00
690,2.389545,2.271812,0.361938,0.368552,0.000267,926.8,88320,0.9821,7753.5859,7.5738,0.5038,0.4131,0.6740,0.4664,0.3827,0.6736,19.7766,19.7766,76.4630,72.5297,23.2031,21.4521,50.3886,51.8168,50.4533,51.9004,63.00,575.00
700,2.405648,2.290028,0.354980,0.361242,0.000252,940.2,89600,0.9827,7744.5283,7.5615,0.4965,0.4103,0.6548,0.4634,0.3812,0.6484,20.0375,20.0375,77.2569,71.0982,22.8659,21.3162,50.2229,51.6757,50.3395,51.7889,63.00,575.00
710,2.339905,2.252473,0.364014,0.368649,0.000237,958.2,90880,0.9874,7738.2446,7.5585,0.4983,0.4152,0.6583,0.4601,0.3918,0.6496,20.3002,20.3002,75.8719,72.2125,22.9549,21.1646,50.1724,51.7348,50.1880,51.7712,63.00,575.00
720,2.321455,2.282348,0.364502,0.366515,0.000222,973.7,92160,0.9945,7732.0742,7.5528,0.5082,0.4135,0.6590,0.4745,0.3838,0.6507,19.5652,19.5652,74.7511,73.2504,23.4119,21.8311,50.1864,51.6610,50.3226,51.8203,63.00,575.00
730,2.381452,2.304789,0.352417,0.356420,0.000208,987.3,93440,0.9888,7724.7969,7.5454,0.5020,0.4111,0.6766,0.4710,0.3835,0.6780,19.9051,19.9051,76.0295,72.0585,23.1267,21.6728,50.3236,51.7145,50.4222,51.8610,63.00,575.00
740,2.358266,2.278257,0.359863,0.364130,0.000194,999.6,94720,0.9883,7719.1436,7.5316,0.5043,0.4100,0.6767,0.4706,0.3816,0.6775,19.6425,19.6425,78.5377,69.3849,23.2331,21.6564,50.2673,51.7397,50.3923,51.8349,63.00,575.00
750,2.327501,2.263700,0.368652,0.372013,0.000180,1013.6,96000,0.9910,7713.5830,7.5339,0.4932,0.4080,0.6741,0.4608,0.3816,0.6771,20.1244,20.1244,73.9102,73.7874,22.7244,21.2058,50.1865,51.5652,50.4168,51.8930,63.00,575.00
760,2.349717,2.262681,0.359863,0.364491,0.000167,1028.2,97280,0.9873,7780.3101,7.5655,0.4959,0.4067,0.6569,0.4667,0.3818,0.6520,19.9885,19.9885,67.9140,80.0256,22.8506,21.4779,50.1998,51.5668,50.5032,51.8842,63.00,575.00
770,2.375463,2.278940,0.360229,0.365223,0.000154,1041.0,98560,0.9863,7881.8555,7.4492,0.5016,0.4048,0.6769,0.4781,0.3846,0.6814,19.5313,19.5313,93.6725,53.5508,23.1116,22.0082,50.3201,51.6955,50.4451,51.7760,63.00,575.00
780,2.322865,2.252628,0.363647,0.367324,0.000142,1054.3,99840,0.9900,7867.9912,7.4549,0.5027,0.4033,0.6547,0.4869,0.3977,0.6644,19.5154,19.5154,93.3991,55.0558,23.1679,22.4148,50.4893,51.6984,50.3598,51.5813,63.00,575.00
790,2.382302,2.313489,0.353271,0.356843,0.000130,1067.1,101120,0.9900,7813.0225,7.4735,0.5024,0.4023,0.6528,0.4913,0.3965,0.6636,19.7062,19.7062,89.8261,58.3102,23.1516,22.6212,50.2955,51.5270,50.3250,51.4396,63.00,575.00
800,2.329653,2.254766,0.363647,0.367551,0.000118,1081.3,102400,0.9894,7757.8374,7.5035,0.4897,0.4019,0.6732,0.4776,0.3923,0.6848,20.0489,20.0489,85.3704,63.3239,22.5673,21.9886,50.3465,51.4654,50.3638,51.5162,63.00,575.00
810,2.330441,2.250225,0.365723,0.370014,0.000107,1097.1,103680,0.9884,7792.3340,7.4834,0.5100,0.4098,0.6750,0.4917,0.3905,0.6839,19.5624,19.5624,88.1857,59.8780,23.5059,22.6394,50.1459,51.3549,50.3007,51.4216,63.00,575.00
820,2.327687,2.265608,0.359497,0.362685,0.000097,1111.4,104960,0.9912,7796.7158,7.4779,0.5047,0.4176,0.6578,0.4741,0.3887,0.6574,20.0486,20.0486,88.9698,59.5081,23.2649,21.8282,50.3301,51.6299,50.2894,51.6315,63.00,575.00
830,2.375889,2.265959,0.356812,0.362610,0.000086,1125.2,106240,0.9840,7780.4956,7.4681,0.5091,0.4199,0.6808,0.4814,0.3872,0.6850,19.7669,19.7669,88.7144,59.8370,23.4662,22.1675,50.3561,51.6544,50.1701,51.4645,63.00,575.00
840,2.364456,2.276135,0.357300,0.361894,0.000077,1137.2,107520,0.9873,7730.6440,7.4920,0.5020,0.4176,0.6581,0.4673,0.3867,0.6567,20.0611,20.0611,84.0839,64.3884,23.1405,21.5177,50.1995,51.4668,50.3412,51.6917,63.00,575.00
850,2.416503,2.296512,0.351440,0.357773,0.000068,1149.6,108800,0.9823,7707.6128,7.5206,0.4966,0.4185,0.6812,0.4673,0.3853,0.6849,20.2552,20.2552,78.5350,70.6183,22.8895,21.5169,50.3056,51.5159,50.3075,51.5837,63.00,575.00
860,2.300005,2.258835,0.360596,0.362721,0.000059,1163.3,110080,0.9941,7713.9702,7.5270,0.4966,0.4174,0.6586,0.4670,0.3837,0.6567,20.3491,20.3491,78.7339,70.5998,22.8926,21.5044,50.2835,51.5314,50.3387,51.6135,63.00,575.00
870,2.333730,2.258365,0.363281,0.367271,0.000051,1176.2,111360,0.9891,7714.4468,7.5343,0.4960,0.4138,0.6587,0.4658,0.3923,0.6574,20.4941,20.4941,76.8727,72.4961,22.8622,21.4498,50.3165,51.5679,50.3863,51.6737,63.00,575.00
880,2.356968,2.233854,0.369141,0.375699,0.000044,1188.6,112640,0.9825,7701.2065,7.5120,0.5045,0.4144,0.6594,0.4764,0.3850,0.6584,19.7458,19.7458,78.4621,69.4018,23.2549,21.9367,50.0329,51.2244,50.2716,51.5082,63.00,575.00
890,2.407698,2.268385,0.362549,0.369863,0.000037,1201.3,113920,0.9802,7697.6445,7.5058,0.5033,0.4127,0.6817,0.4744,0.3917,0.6859,20.1671,20.1671,79.4994,69.4785,23.2027,21.8466,50.3125,51.5555,50.2119,51.4373,63.00,575.00
900,2.344738,2.248570,0.367188,0.372231,0.000031,1215.0,115200,0.9865,7859.8003,7.4461,0.5015,0.4153,0.6591,0.4722,0.3906,0.6567,20.1189,20.1189,92.2433,54.8150,23.1196,21.7463,50.0521,51.3668,50.3431,51.5636,63.00,575.00
910,2.314757,2.248902,0.363892,0.367344,0.000025,1230.6,116480,0.9906,7824.9756,7.4553,0.5118,0.4162,0.6819,0.4764,0.3800,0.6823,19.6464,19.6464,90.7879,56.9976,23.5923,21.9418,50.1513,51.4348,50.3250,51.6162,63.00,575.00
920,2.335881,2.278768,0.361084,0.364017,0.000020,1244.4,117760,0.9919,7854.6382,7.4539,0.4937,0.4156,0.6790,0.4583,0.3793,0.6809,20.4028,20.4028,91.8429,55.5731,22.7594,21.1084,50.0952,51.3973,50.3456,51.6508,63.00,575.00
